day,price
2012-01-01,629.93
2012-01-02,629.93
2012-01-03,629.93
2012-01-04,630.53
2012-01-05,631.31
2012-01-06,631.74
2012-01-07,631.74
2012-01-08,631.74
2012-01-09,632.44
2012-01-10,632.34
2012-01-11,632.84
2012-01-12,632.94
2012-01-13,631.63
2012-01-14,631.63
2012-01-15,631.63
2012-01-16,632.34
2012-01-17,632.29
2012-01-18,632.34
2012-01-19,632.74
2012-01-20,634.04
2012-01-21,633.14
2012-01-22,633.14
2012-01-23,633.14
2012-01-24,633.14
2012-01-25,633.14
2012-01-26,633.14
2012-01-27,633.14
2012-01-28,633.14
2012-01-29,632.34
2012-01-30,634.14
2012-01-31,631.94
2012-02-01,631.89
2012-02-02,631.03
2012-02-03,631.46
2012-02-04,631.46
2012-02-05,631.46
2012-02-06,632.41
2012-02-07,631.48
2012-02-08,630.53
2012-02-09,630.53
2012-02-10,631.13
2012-02-11,631.13
2012-02-12,631.13
2012-02-13,630.83
2012-02-14,631.23
2012-02-15,631.08
2012-02-16,631.4
2012-02-17,630.93
2012-02-18,630.93
2012-02-19,630.93
2012-02-20,631.18
2012-02-21,630.63
2012-02-22,630.73
2012-02-23,631.02
2012-02-24,630.78
2012-02-25,630.78
2012-02-26,630.78
2012-02-27,631.33
2012-02-28,631.03
2012-02-29,630.6
2012-03-01,631.13
2012-03-02,630.93
2012-03-03,630.93
2012-03-04,630.93
2012-03-05,631.84
2012-03-06,631.89
2012-03-07,632.11
2012-03-08,632.69
2012-03-09,632.34
2012-03-10,632.34
2012-03-11,632.34
2012-03-12,633.69
2012-03-13,633.89
2012-03-14,634.39
2012-03-15,634.14
2012-03-16,633.44
2012-03-17,633.44
2012-03-18,633.44
2012-03-19,633.64
2012-03-20,633.69
2012-03-21,633.36
2012-03-22,630.98
2012-03-23,631.53
2012-03-24,631.53
2012-03-25,631.53
2012-03-26,632.44
2012-03-27,631.63
2012-03-28,631.74
2012-03-29,631.63
2012-03-30,630.93
2012-03-31,630.73
2012-04-01,630.68
2012-04-02,630.68
2012-04-03,630.68
2012-04-04,630.68
2012-04-05,632.64
2012-04-06,631.67
2012-04-07,631.67
2012-04-08,631.67
2012-04-09,631.94
2012-04-10,632.14
2012-04-11,631.94
2012-04-12,631.84
2012-04-13,631.53
2012-04-14,631.53
2012-04-15,631.53
2012-04-16,632.54
2012-04-17,631.13
2012-04-18,631.43
2012-04-19,631.33
2012-04-20,631.84
2012-04-21,631.84
2012-04-22,631.84
2012-04-23,631.84
2012-04-24,631.79
2012-04-25,631.58
2012-04-26,631.79
2012-04-27,632.32
2012-04-28,632.32
2012-04-29,632.32
2012-04-30,632.32
2012-05-01,632.32
2012-05-02,631.91
2012-05-03,631.81
2012-05-04,631.8
2012-05-05,631.8
2012-05-06,631.8
2012-05-07,632.06
2012-05-08,632.04
2012-05-09,632.21
2012-05-10,632.66
2012-05-11,632.26
2012-05-12,632.26
2012-05-13,632.26
2012-05-14,633.06
2012-05-15,632.86
2012-05-16,633.26
2012-05-17,633.53
2012-05-18,634.02
2012-05-19,634.02
2012-05-20,634.02
2012-05-21,633.97
2012-05-22,633.51
2012-05-23,634.67
2012-05-24,635.62
2012-05-25,635.67
2012-05-26,635.67
2012-05-27,635.67
2012-05-28,635.92
2012-05-29,635.97
2012-05-30,637.22
2012-05-31,637.97
2012-06-01,638.12
2012-06-02,638.12
2012-06-03,638.12
2012-06-04,637.47
2012-06-05,638.02
2012-06-06,637.47
2012-06-07,637.57
2012-06-08,638.47
2012-06-09,638.47
2012-06-10,638.47
2012-06-11,637.97
2012-06-12,638.17
2012-06-13,638.17
2012-06-14,638.07
2012-06-15,637.67
2012-06-16,637.67
2012-06-17,637.67
2012-06-18,637.03
2012-06-19,636.76
2012-06-20,637.27
2012-06-21,637.97
2012-06-22,637.97
2012-06-23,637.97
2012-06-24,637.97
2012-06-25,637.6
2012-06-26,637.57
2012-06-27,636.77
2012-06-28,637
2012-06-29,636.47
2012-06-30,636.47
2012-07-01,636.47
2012-07-02,636.07
2012-07-03,636.52
2012-07-04,635.99
2012-07-05,636.77
2012-07-06,637.67
2012-07-07,637.67
2012-07-08,637.67
2012-07-09,638.29
2012-07-10,637.67
2012-07-11,638.12
2012-07-12,638.37
2012-07-13,639.19
2012-07-14,639.19
2012-07-15,639.19
2012-07-16,639.23
2012-07-17,638.52
2012-07-18,638.32
2012-07-19,638.52
2012-07-20,638.67
2012-07-21,638.67
2012-07-22,638.67
2012-07-23,639.89
2012-07-24,639.8
2012-07-25,640.08
2012-07-26,639.66
2012-07-27,639.33
2012-07-28,639.33
2012-07-29,639.33
2012-07-30,639.18
2012-07-31,637.67
2012-08-01,638.12
2012-08-02,637.87
2012-08-03,638.57
2012-08-04,638.57
2012-08-05,638.57
2012-08-06,638.57
2012-08-07,637.77
2012-08-08,637.27
2012-08-09,637.22
2012-08-10,637.37
2012-08-11,637.37
2012-08-12,637.37
2012-08-13,637.37
2012-08-14,637.12
2012-08-15,637.47
2012-08-16,637.67
2012-08-17,637.17
2012-08-18,637.17
2012-08-19,637.17
2012-08-20,637.22
2012-08-21,636.77
2012-08-22,636.47
2012-08-23,636.62
2012-08-24,636.77
2012-08-25,636.77
2012-08-26,636.77
2012-08-27,636.92
2012-08-28,636.52
2012-08-29,636.42
2012-08-30,636.22
2012-08-31,635.97
2012-09-01,635.97
2012-09-02,635.97
2012-09-03,635.28
2012-09-04,635.97
2012-09-05,636.07
2012-09-06,635.47
2012-09-07,635.47
2012-09-08,635.47
2012-09-09,635.47
2012-09-10,635.02
2012-09-11,634.82
2012-09-12,633.91
2012-09-13,634.22
2012-09-14,632.71
2012-09-15,632.71
2012-09-16,632.71
2012-09-17,632.96
2012-09-18,632.86
2012-09-19,632.06
2012-09-20,631.51
2012-09-21,631.76
2012-09-22,631.76
2012-09-23,631.76
2012-09-24,632.01
2012-09-25,631.91
2012-09-26,631.31
2012-09-27,631.24
2012-09-28,629.36
2012-09-29,629.66
2012-09-30,629.66
2012-10-01,629.66
2012-10-02,629.66
2012-10-03,629.66
2012-10-04,629.66
2012-10-05,629.66
2012-10-06,629.66
2012-10-07,629.66
2012-10-08,629.96
2012-10-09,629.96
2012-10-10,629.56
2012-10-11,628.86
2012-10-12,627.85
2012-10-13,627.85
2012-10-14,627.85
2012-10-15,628.07
2012-10-16,627.55
2012-10-17,626.65
2012-10-18,626.25
2012-10-19,626.75
2012-10-20,626.75
2012-10-21,626.75
2012-10-22,626.7
